county,year,ces_score
Riverside ,2014,49.6284038298643
Riverside ,2014,49.625000133543
Los Angeles,2014,49.6122537809604
Los Angeles,2014,49.5785174154999
Los Angeles,2014,49.5751222230966
San Bernardino,2014,49.5609566358942
Los Angeles,2014,49.5501950977682
Los Angeles,2014,49.5431424395326
Los Angeles,2014,49.5300538892904
Los Angeles,2014,49.5181143380522
Los Angeles,2014,49.500974344906496
Los Angeles,2014,49.4881436586543
Los Angeles,2014,49.484507358129
Los Angeles,2014,49.477915133508894
Los Angeles,2014,49.4752450796406
Los Angeles,2014,49.4684487861858
Los Angeles,2014,49.458810962080896
Los Angeles,2014,49.4477470498283
Sacramento ,2014,49.4417168522972
Los Angeles,2014,49.4283256507636
Los Angeles,2014,49.407028652746
San Bernardino,2014,49.3941514910072
Los Angeles,2014,49.3879475615813
Los Angeles,2014,49.385904844892
Los Angeles,2014,49.3631764044078
Los Angeles,2014,49.3556989786187
Los Angeles,2014,49.3370753100526
Los Angeles,2014,49.320860177829694
Riverside ,2014,49.3178223893511
Los Angeles,2014,49.3044440129857
San Bernardino,2014,49.2766867333598
San Bernardino,2014,49.2532242220772
San Bernardino,2014,49.1976941290018
Los Angeles,2014,49.178445038213
Los Angeles,2014,49.1342279276991
Orange ,2014,49.1193629278884
Los Angeles,2014,49.1015326181771
Los Angeles,2014,49.0612730043202
Los Angeles,2014,49.0402682009243
Los Angeles,2014,49.0332006891787
Los Angeles,2014,49.0306666853996
Los Angeles,2014,49.0286774992992
Los Angeles,2014,49.022842450937695
Los Angeles,2014,49.0172885106086
Los Angeles,2014,49.0003680445308
Los Angeles,2014,48.967037271863695
Los Angeles,2014,48.9355554525399
Los Angeles,2014,48.9325604482175
Los Angeles,2014,48.9210444046931
Los Angeles,2014,48.9099076989026
San Bernardino,2014,48.8777726274971
Los Angeles,2014,48.8695279467318
Los Angeles,2014,48.863580457677
Los Angeles,2014,48.8515898451357
Los Angeles,2014,48.7869986951689
Los Angeles,2014,48.762170530249
Los Angeles,2014,48.7531632811112
Los Angeles,2014,48.735810173481696
Los Angeles,2014,48.7227857994739
Los Angeles,2014,48.715587780933696
Los Angeles,2014,48.7145931122931
Los Angeles,2014,48.6911565285115
Los Angeles,2014,48.684697317767
Los Angeles,2014,48.6275907116836
Los Angeles,2014,48.562510806904896
Los Angeles,2014,48.5590298572132
Los Angeles,2014,48.537349981312
Los Angeles,2014,48.499939419348095
Los Angeles,2014,48.4868926075952
Los Angeles,2014,48.4757602356533
Los Angeles,2014,48.460209807455
Los Angeles,2014,48.442726319014895
San Bernardino,2014,48.4355792105969
San Bernardino,2014,48.3669012918215
Los Angeles,2014,48.3366557657945
Los Angeles,2014,48.3356133996228
Los Angeles,2014,48.3320820941382
Los Angeles,2014,48.3306500343503
Los Angeles,2014,48.3276719244783
San Bernardino,2014,48.3265820119563
Los Angeles,2014,48.3063661327795
Los Angeles,2014,48.3063300005769
Riverside ,2014,48.2941525034143
Riverside ,2014,48.2921494590772
San Bernardino,2014,48.2663883072685
Los Angeles,2014,48.2608895227215
Los Angeles,2014,48.2520330260023
Los Angeles,2014,48.197798426091296
Los Angeles,2014,48.1944707107024
Los Angeles,2014,48.1859579486472
San Bernardino,2014,48.1815852718168
Riverside ,2014,48.1710732449435
Los Angeles,2014,48.1545089859427
Los Angeles,2014,48.1390304064025
Los Angeles,2014,48.1363021731368
Los Angeles,2014,48.1329670624888
Los Angeles,2014,48.127487276324494
Los Angeles,2014,48.119680112690496
San Bernardino,2014,48.102907236833694
Los Angeles,2014,48.0913950106236
San Bernardino,2014,48.068621304099
Sacramento ,2014,48.0551659893231
Riverside ,2014,48.0539267228046
Los Angeles,2014,48.0470791034803
Los Angeles,2014,48.0251583840236
Los Angeles,2014,48.016671347895
Los Angeles,2014,48.003677071457695
Los Angeles,2014,47.9426440363643
Los Angeles,2014,47.934756545351
San Bernardino,2014,47.9200950474472
Los Angeles,2014,47.9087255736735
Los Angeles,2014,47.897179760137
Los Angeles,2014,47.8957753916257
Los Angeles,2014,47.8946415610918
Los Angeles,2014,47.8784138556686
Riverside ,2014,47.8699239723024
Los Angeles,2014,47.8609546821348
Los Angeles,2014,47.8503063784011
San Diego,2014,47.8163095158857
San Diego,2014,47.8102164901487
Los Angeles,2014,47.8002253314013
Los Angeles,2014,47.7917723235431
Los Angeles,2014,47.7809418847839
Orange ,2014,47.7761975678402
Los Angeles,2014,47.7759059527446
Los Angeles,2014,47.7734411645587
Los Angeles,2014,47.772086421133295
Los Angeles,2014,47.7631259498435
Los Angeles,2014,47.741467894366
Los Angeles,2014,47.7328019232048
Los Angeles,2014,47.7192055063824
Los Angeles,2014,47.7176687539153
Los Angeles,2014,47.7154438770037
Los Angeles,2014,47.70758499695
Los Angeles,2014,47.618490367951
San Bernardino,2014,47.602457761304
Los Angeles,2014,47.597709060118
Los Angeles,2014,47.5954917422446
Los Angeles,2014,47.5890300496159
Los Angeles,2014,47.5875343679231
Los Angeles,2014,47.5823865873152
Los Angeles,2014,47.574820116056
San Bernardino,2014,47.571226473703
Sacramento ,2014,47.5698506027658
Riverside ,2014,47.5593601317498
Los Angeles,2014,47.558444215688894
Los Angeles,2014,47.5272258918385
Alameda ,2014,47.5243988493451
Los Angeles,2014,47.4876907362031
Los Angeles,2014,47.4810055984051
Los Angeles,2014,47.4804295367019
Los Angeles,2014,47.4636931961964
San Bernardino,2014,47.4496836149441
San Bernardino,2014,47.4356570636511
Los Angeles,2014,47.4236621172612
Los Angeles,2014,47.3722818353732
Santa Clara,2014,47.335580487570496
Los Angeles,2014,47.3185634169844
Santa Clara,2014,47.3074058860436
Los Angeles,2014,47.3000000443463
Los Angeles,2014,47.2920958226618
Los Angeles,2014,47.2889956343228
Los Angeles,2014,47.2785618056998
Los Angeles,2014,47.259773576872
Los Angeles,2014,47.213661793432
Los Angeles,2014,47.1978434981165
Los Angeles,2014,47.1951424647899
San Bernardino,2014,47.1618307283006
Orange ,2014,47.1414711392091
Orange ,2014,47.139156599506
Los Angeles,2014,47.1066837524783
Los Angeles,2014,47.0564616916208
Los Angeles,2014,47.0284408913247
Alameda ,2014,47.005210379523
Los Angeles,2014,46.977899839055
Los Angeles,2014,46.972372002604494
Los Angeles,2014,46.9703138024853
Los Angeles,2014,46.9554529223504
San Bernardino,2014,46.9324010684166
San Bernardino,2014,46.8629579608021
Los Angeles,2014,46.8490246502453
Los Angeles,2014,46.8459224461628
Orange ,2014,46.8348600709147
Orange ,2014,46.8341339497047
Los Angeles,2014,46.8041695443085
Los Angeles,2014,46.7822841381586
Los Angeles,2014,46.779606348874495
Los Angeles,2014,46.7174574233645
Los Angeles,2014,46.7068205337786
San Bernardino,2014,46.6457025476942
Riverside ,2014,46.6411654617828
Los Angeles,2014,46.6029924196352
Los Angeles,2014,46.6015835534962
Los Angeles,2014,46.5833477391804
San Diego,2014,46.5735216194338
Los Angeles,2014,46.5498371999863
Los Angeles,2014,46.5440990458962
Los Angeles,2014,46.5314312695157
Los Angeles,2014,46.5267373083648
Los Angeles,2014,46.523600156329
Los Angeles,2014,46.4998082221614
Los Angeles,2014,46.4952008623915
Los Angeles,2014,46.4669440941194
Los Angeles,2014,46.4667301103462
Los Angeles,2014,46.462840292278
San Bernardino,2014,46.4530390417671
Los Angeles,2014,46.4296246059675
Orange ,2014,46.4165147770328
Los Angeles,2014,46.3586996622985
San Bernardino,2014,46.3586757253441
Los Angeles,2014,46.354389435722
Los Angeles,2014,46.3485544881477
Los Angeles,2014,46.3481879503851
Orange ,2014,46.3408677021971
Los Angeles,2014,46.3371982174941
Los Angeles,2014,46.3286603090385
Los Angeles,2014,46.320098035283
Los Angeles,2014,46.3185915693623
San Bernardino,2014,46.2869843077995
Los Angeles,2014,46.251024955187
Los Angeles,2014,46.2164409065839
Los Angeles,2014,46.211758750131
Los Angeles,2014,46.1968316906166
San Diego,2014,46.1859014473563
Los Angeles,2014,46.185328018718
Los Angeles,2014,46.1833831537783
Riverside ,2014,46.181644146645695
San Bernardino,2014,46.176078477209
Los Angeles,2014,46.172519505644495
Orange ,2014,46.135632205502
Riverside ,2014,46.1217707562017
Los Angeles,2014,46.1180743739211
Los Angeles,2014,46.0989366025683
Los Angeles,2014,46.0986986062504
Los Angeles,2014,46.0843099896258
Orange ,2014,46.0806955095241
Riverside ,2014,46.0605035043096
Los Angeles,2014,46.0444722582895
Los Angeles,2014,46.0309130823286
Los Angeles,2014,46.0130461238804
Los Angeles,2014,46.0096487141592
Los Angeles,2014,45.9939287619307
Los Angeles,2014,45.9700991837529
Orange ,2014,45.9605399358502
Los Angeles,2014,45.9548899201455
Los Angeles,2014,45.9255597432515
Los Angeles,2014,45.852946349817
Orange ,2014,45.8320426233604
Los Angeles,2014,45.8275954018149
Los Angeles,2014,45.7872388936866
Los Angeles,2014,45.7570813800611
Santa Clara,2014,45.747098637042896
Orange ,2014,45.7298520488602
Orange ,2014,45.720884232705
Los Angeles,2014,45.7123621856312
Los Angeles,2014,45.706225670227695
Los Angeles,2014,45.6761949720664
Santa Clara,2014,45.660307574543296
Sacramento ,2014,45.6414422561242
Los Angeles,2014,45.6180226927769
Los Angeles,2014,45.6162939029443
Los Angeles,2014,45.6123212504157
Los Angeles,2014,45.6023620915968
Los Angeles,2014,45.592765237479
Los Angeles,2014,45.5872806765222
Sacramento ,2014,45.5532625479127
Los Angeles,2014,45.5523292460639
Los Angeles,2014,45.5416199912855
Sacramento ,2014,45.5394778228502
Los Angeles,2014,45.512541643749294
San Bernardino,2014,45.510617704747
Los Angeles,2014,45.4846504809584
Los Angeles,2014,45.478736062695695
Riverside ,2014,45.4733976179475
Los Angeles,2014,45.4709356392042
Los Angeles,2014,45.470278532013
Los Angeles,2014,45.3912697009197
Los Angeles,2014,45.3741509612698
San Bernardino,2014,45.3462198237651
Los Angeles,2014,45.3179290650179
Los Angeles,2014,45.2997880914348
Los Angeles,2014,45.2795459320018
Los Angeles,2014,45.266790420384496
Los Angeles,2014,45.2598545870844
Los Angeles,2014,45.2549935711892
San Bernardino,2014,45.2249821107802
Los Angeles,2014,45.2194689640606
Los Angeles,2014,45.1951787128978
Los Angeles,2014,45.179638829557696
San Diego,2014,45.1563550013399
Los Angeles,2014,45.1475117959295
Los Angeles,2014,45.1452485317022
Los Angeles,2014,45.1447236194908
Los Angeles,2014,45.1437512500129
Los Angeles,2014,45.1300239232472
Los Angeles,2014,45.123216669187
Los Angeles,2014,45.0729002085408
Los Angeles,2014,45.0643232576528
San Bernardino,2014,45.0549374770785
Los Angeles,2014,45.010335145379294
Los Angeles,2014,44.9783076012922
Los Angeles,2014,44.9768029495407
Los Angeles,2014,44.9658235473353
Los Angeles,2014,44.9614497114524
Los Angeles,2014,44.951523258072
Los Angeles,2014,44.9405835156204
