census_tract,latitude,longitude,delta_2014_2021
6013322000,37.9619967,-122.0766292,-2.897923319551099
6013323000,37.9504131,-122.0727158,-3.221707959362101
6013324001,37.9387253,-122.0560841,-1.8390538984614988
6013324002,37.9515418,-122.0606042,1.6667189772438
6013325000,37.9354669,-122.0743488,1.3355257020139994
6013326000,37.9372675,-122.0885363,-7.723278092771679
6013327000,37.9849793,-122.053206,13.302183781479602
6013328000,37.975617,-122.0377689,0.11607847073129918
6013329000,37.9947441,-122.0338936,13.174217157378106
6013330000,37.9886609,-122.026061,7.671781955286299
6013331000,37.9762383,-122.01218,5.3361863497102995
6013332000,37.9817896,-121.9977502,1.3702015509991003
6013333101,37.9649061,-121.9701205,4.1433491526371
6013333102,37.9598119,-121.95812,0.6231128872778999
6013333200,37.9689678,-121.9851584,-1.3926415636141947
6013334001,37.9631631,-122.0017551,1.3717045870664002
6013334004,37.9600453,-121.9882643,1.1374609959650979
6013334006,37.9518749,-121.9871443,-4.06799098413355
